KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,総数,農林漁業就業者世帯,農林漁業・非農林漁業就業者混合世帯,非農林漁業就業者世帯,非就業者世帯,分類不能の世帯
23361013202,4,大口町,大御堂二丁目,0,,,-,-,-,-,-,-
233610133,3,大口町,丸,0,,,138,-,-,108,29,1
23361013301,4,大口町,丸一丁目,0,,,111,-,-,88,22,1
23361013302,4,大口町,丸二丁目,0,,,27,-,-,20,7,-
233610140,3,大口町,外坪,0,,,240,2,8,171,57,2
23361014001,4,大口町,外坪一丁目,0,,,69,1,2,52,14,-
23361014002,4,大口町,外坪二丁目,0,,,-,-,-,-,-,-
23361014003,4,大口町,外坪三丁目,0,,,83,1,3,57,22,-
23361014004,4,大口町,外坪四丁目,0,,,23,-,1,20,1,1
23361014005,4,大口町,外坪五丁目,0,,,65,-,2,42,20,1
233610191,3,大口町,河北,0,,,437,2,4,334,94,3
23361019101,4,大口町,河北一丁目,1,,0192,7,-,-,5,1,1
23361019102,4,大口町,河北二丁目,1,,019103,430,2,4,329,93,2
23361019103,4,大口町,河北三丁目,2,019102,,X,X,X,X,X,X
233610192,2,大口町,大字河北,2,019101,,X,X,X,X,X,X
233610200,3,大口町,仲沖,0,,,64,-,1,50,13,-
23361020001,4,大口町,仲沖一丁目,0,,,64,-,1,50,13,-
23361020002,4,大口町,仲沖二丁目,0,,,-,-,-,-,-,-
233610220,3,大口町,二ツ屋,0,,,71,1,2,54,14,-
23361022001,4,大口町,二ツ屋一丁目,0,,,42,1,2,33,6,-
23361022002,4,大口町,二ツ屋二丁目,0,,,29,-,-,21,8,-
233610240,3,大口町,余野,0,,,2242,6,6,1759,458,13
23361024001,4,大口町,余野一丁目,0,,,255,1,-,196,58,-
23361024002,4,大口町,余野二丁目,0,,,211,2,2,144,61,2
23361024003,4,大口町,余野三丁目,0,,,611,-,1,495,111,4
23361024004,4,大口町,余野四丁目,0,,,298,1,3,236,52,6
23361024005,4,大口町,余野五丁目,0,,,329,-,-,258,70,1
23361024006,4,大口町,余野六丁目,0,,,538,2,-,430,106,-
233610250,3,大口町,上小口,0,,,668,-,1,533,127,7
23361025001,4,大口町,上小口一丁目,0,,,520,-,-,419,97,4
23361025002,4,大口町,上小口二丁目,0,,,7,-,-,5,2,-
23361025003,4,大口町,上小口三丁目,0,,,141,-,1,109,28,3
233610280,3,大口町,萩島,0,,,109,1,1,87,16,4
23361028001,4,大口町,萩島一丁目,0,,,56,-,-,45,8,3
23361028002,4,大口町,萩島二丁目,0,,,53,1,1,42,8,1
233610300,3,大口町,中小口,0,,,73,1,-,45,27,-
23361030001,4,大口町,中小口一丁目,2,045306,,X,X,X,X,X,X
23361030002,4,大口町,中小口二丁目,0,,,5,1,-,3,1,-
23361030003,4,大口町,中小口三丁目,1,,030005,60,-,-,35,25,-
23361030004,4,大口町,中小口四丁目,0,,,8,-,-,7,1,-
23361030005,4,大口町,中小口五丁目,2,030003,,X,X,X,X,X,X
233610350,3,大口町,城屋敷,0,,,170,-,2,114,53,1
23361035001,4,大口町,城屋敷一丁目,0,,,134,-,2,89,42,1
23361035002,4,大口町,城屋敷二丁目,0,,,36,-,-,25,11,-
233610360,3,大口町,新宮,0,,,88,1,1,68,14,4
23361036001,4,大口町,新宮一丁目,0,,,39,-,-,32,5,2
23361036002,4,大口町,新宮二丁目,0,,,49,1,1,36,9,2
233610380,3,大口町,下小口,0,,,1342,5,6,984,338,9
23361038001,4,大口町,下小口一丁目,0,,,284,1,2,218,62,1
23361038002,4,大口町,下小口二丁目,0,,,307,1,3,216,85,2
23361038003,4,大口町,下小口三丁目,0,,,157,-,-,101,55,1
23361038004,4,大口町,下小口四丁目,0,,,124,1,-,78,44,1
23361038005,4,大口町,下小口五丁目,0,,,147,2,-,129,14,2
23361038006,4,大口町,下小口六丁目,0,,,17,-,-,10,7,-
23361038007,4,大口町,下小口七丁目,0,,,306,-,1,232,71,2
233610452,3,大口町,竹田,0,,,362,3,1,298,59,1
23361045201,4,大口町,竹田一丁目,0,,,66,1,-,47,17,1
23361045202,4,大口町,竹田二丁目,0,,,166,1,-,150,15,-
23361045203,4,大口町,竹田三丁目,0,,,130,1,1,101,27,-
233610453,3,大口町,大字小口,0,,,549,-,3,421,121,4
23361045300,4,大口町,大字小口字城屋敷,0,,,61,-,1,50,9,1
23361045301,4,大口町,大字小口字地蔵堂,0,,,70,-,-,62,7,1
23361045302,4,大口町,大字小口字下山伏,0,,,102,-,-,70,32,-
23361045303,4,大口町,大字小口字下之段,0,,,96,-,1,62,33,-
23361045304,4,大口町,大字小口字宮之前,1,,0456,76,-,1,57,16,2
23361045305,4,大口町,大字小口字金三西,0,,,34,-,-,28,6,-
23361045306,4,大口町,大字小口字上山伏,1,,030001;045307,21,-,-,19,2,-
23361045307,4,大口町,大字小口字定光寺,2,045306,,X,X,X,X,X,X
23361045308,4,大口町,大字小口字馬場,0,,,89,-,-,73,16,-
233610454,3,大口町,さつきケ丘,0,,,350,-,-,239,106,5
23361045401,4,大口町,さつきケ丘一丁目,0,,,169,-,-,121,47,1
23361045402,4,大口町,さつきケ丘二丁目,0,,,181,-,-,118,59,4
233610455,2,大口町,垣田,0,,,344,-,1,207,130,6
233610456,2,大口町,大字余野,2,045304,,X,X,X,X,X,X
23362,1,扶桑町,,0,,,13494,68,77,9367,3690,292
233620010,3,扶桑町,大字高雄,0,,,5767,26,32,3990,1589,130
23362001000,4,扶桑町,大字高雄字堂子,0,,,4305,17,21,2960,1215,92
23362001001,4,扶桑町,大字高雄字覚王寺前,0,,,1462,9,11,1030,374,38
233620020,2,扶桑町,大字山那,0,,,200,6,3,139,49,3
233620030,2,扶桑町,大字小淵,0,,,246,1,3,153,78,11
233620040,2,扶桑町,大字南山名,0,,,1228,8,10,858,322,30
